OBJECTID,SITE_NAME,GAZ_NAME,GFE_ID,Y_LAT,X_LONG,GFE_TYPE,WS_CDE_20K,WS_CDE_50K,CU_NAME,FULL_CU_IN,SP_QUAL,CU_TYPE,POP_ID,FAZ_ACRO,MAZ_ACRO,JAZ_ACRO
182,ROBERTSON RIVER,ROBERTSON RIVER,2621,48.81655357,-124.1352682,Stream,920-252823-679782-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,920-257700-68500-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND-COWICHAN AND KOKSILAH_FA_0.x,CK-22,CK,Current,234,EVI,GStr,EVI+GStr
183,SHAW CREEK,SHAW CREEK,2626,48.91739326,-124.414901,Stream,920-252823-961884-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,920-257700-96000-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND-COWICHAN AND KOKSILAH_FA_0.x,CK-22,CK,Current,244,EVI,GStr,EVI+GStr
184,NANAIMO RIVER - UPPER,NANAIMO RIVER,23735,49.09187318,-124.2284975,Stream Segment,920-388982-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,920-384400-00000-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND-GEORGIA STRAIT_SU_0.3,CK-83,CK,Current,3333,EVI,GStr,EVI+GStr
185,BONELL CREEK,BONELL CREEK,1187,49.265725,-124.1913519,Stream,920-432167-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,920-427000-00000-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND-NANAIMO AND CHEMAINUS_FA_0.x,CK-25,CK,Current,51448,EVI,GStr,EVI+GStr
186,CHEMAINUS RIVER,CHEMAINUS RIVER,1204,48.89792583,-123.6731808,Stream,920-302830-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,920-303500-00000-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND-NANAIMO AND CHEMAINUS_FA_0.x,CK-25,CK,Current,39984,EVI,GStr,EVI+GStr
187,HASLAM CREEK,HASLAM CREEK,1195,49.08008788,-123.86252,Stream,920-388982-116625-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,920-384400-11200-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND-NANAIMO AND CHEMAINUS_FA_0.x,CK-25,CK,Current,51528,EVI,GStr,EVI+GStr
188,MILLSTONE RIVER,MILLSTONE RIVER,1191,49.17259598,-123.9439442,Stream,920-400452-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,920-395400-00000-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND-NANAIMO AND CHEMAINUS_FA_0.x,CK-25,CK,Current,51488,EVI,GStr,EVI+GStr
189,NANAIMO RIVER,NANAIMO RIVER,1194,49.13837819,-123.8958267,Stream,920-388982-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,920-384400-00000-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND-NANAIMO AND CHEMAINUS_FA_0.x,CK-25,CK,Current,51519,EVI,GStr,EVI+GStr
190,NAPOLEON CREEK,,373,49.06983501,-123.8652139,Stream,920-388982-116625-056630-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,920-384400-11200-05600-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND-NANAIMO AND CHEMAINUS_FA_0.x,CK-25,CK,Current,45722,EVI,GStr,EVI+GStr
191,BLACK CREEK,BLACK CREEK,1151,49.85342635,-125.1002478,Stream,920-599397-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,920-595100-00000-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND-QUALICUM AND PUNTLEDGE_FA_0.x,CK-27,CK,Current,53018,EVI,GStr,EVI+GStr
192,ENGLISHMAN RIVER,ENGLISHMAN RIVER,1184,49.32530375,-124.2916648,Stream,920-470275-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,920-462800-00000-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND-QUALICUM AND PUNTLEDGE_FA_0.x,CK-27,CK,Current,51418,EVI,GStr,EVI+GStr
193,LITTLE QUALICUM RIVER,LITTLE QUALICUM RIVER,1181,49.3651022,-124.4948284,Stream,920-490278-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,920-481800-00000-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND-QUALICUM AND PUNTLEDGE_FA_0.x,CK-27,CK,Current,51388,EVI,GStr,EVI+GStr
194,MORRISON CREEK,MORRISON CREEK,1160,49.68891592,-125.0137395,Stream,920-559826-984406-044942-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,920-553200-94200-04800-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND-QUALICUM AND PUNTLEDGE_FA_0.x,CK-27,CK,Current,53108,EVI,GStr,EVI+GStr
195,NANOOSE CREEK,NANOOSE CREEK,1186,49.26745399,-124.1928098,Stream,920-432397-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,920-427200-00000-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND-QUALICUM AND PUNTLEDGE_FA_0.x,CK-27,CK,Current,51438,EVI,GStr,EVI+GStr
196,NILE CREEK,NILE CREEK,1178,49.42027162,-124.6403501,Stream,920-502507-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,920-494300-00000-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND-QUALICUM AND PUNTLEDGE_FA_0.x,CK-27,CK,Current,51358,EVI,GStr,EVI+GStr
197,OYSTER RIVER,OYSTER RIVER,1149,49.87257621,-125.1160697,Stream,920-602544-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,920-600400-00000-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND-QUALICUM AND PUNTLEDGE_FA_0.x,CK-27,CK,Current,52998,EVI,GStr,EVI+GStr
198,PUNTLEDGE RIVER,PUNTLEDGE RIVER,1156,49.69591542,-124.9949375,Stream,920-559826-984406-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,920-553200-94200-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND-QUALICUM AND PUNTLEDGE_FA_0.x,CK-27,CK,Current,3331,,,
199,PUNTLEDGE RIVER,PUNTLEDGE RIVER,1156,49.69591542,-124.9949375,Stream,920-559826-984406-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,920-553200-94200-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND-QUALICUM AND PUNTLEDGE_FA_0.x,CK-27,CK,Current,53069,EVI,GStr,EVI+GStr
200,QUALICUM RIVER,QUALICUM RIVER,1179,49.39818979,-124.6105447,Stream,920-499091-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,920-490700-00000-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND-QUALICUM AND PUNTLEDGE_FA_0.x,CK-27,CK,Current,51368,EVI,GStr,EVI+GStr
201,ROSEWALL CREEK,ROSEWALL CREEK,1172,49.46668516,-124.7786389,Stream,920-519315-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,920-510600-00000-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND-QUALICUM AND PUNTLEDGE_FA_0.x,CK-27,CK,Current,51298,EVI,GStr,EVI+GStr
202,SIMMS CREEK,SIMMS CREEK,1145,49.9790359,-125.221839,Stream,920-617535-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,920-616300-00000-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND-QUALICUM AND PUNTLEDGE_FA_0.x,CK-27,CK,Current,52958,EVI,GStr,EVI+GStr
203,TRENT RIVER,TRENT RIVER,1164,49.64412312,-124.9300627,Stream,920-553164-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,920-545800-00000-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND-QUALICUM AND PUNTLEDGE_FA_0.x,CK-27,CK,Current,52038,EVI,GStr,EVI+GStr
204,TSABLE RIVER,TSABLE RIVER,1166,49.51873293,-124.8299599,Stream,920-535278-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,920-527600-00000-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND-QUALICUM AND PUNTLEDGE_FA_0.x,CK-27,CK,Current,52058,EVI,GStr,EVI+GStr
205,TSOLUM RIVER,TSOLUM RIVER,1157,49.69576794,-124.9945001,Stream,920-559826-990728-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,920-553200-94100-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND-QUALICUM AND PUNTLEDGE_FA_0.x,CK-27,CK,Current,53078,EVI,GStr,EVI+GStr
206,WILLOW CREEK,WILLOW CREEK,1146,49.96588191,-125.2083355,Stream,920-615785-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,920-614400-00000-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND-QUALICUM AND PUNTLEDGE_FA_0.x,CK-27,CK,Current,52968,EVI,GStr,EVI+GStr
207,WOODS CREEK,WOODS CREEK,1147,49.9272075,-125.1824185,Stream,920-611193-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,920-609500-00000-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND-QUALICUM AND PUNTLEDGE_FA_0.x,CK-27,CK,Current,52978,EVI,GStr,EVI+GStr
208,AHNUHATI RIVER,AHNUHATI RIVER,852,50.89044697,-125.6396889,Stream,900-605602-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,900-603000-00000-00000-0000-0000-000-000-000-000-000-000,SOUTHERN MAINLAND-SOUTHERN FJORDS_FA_0.x,CK-28,CK,Current,50898,SC,SFj,SC+SFj
209,AHTA RIVER,AHTA RIVER,861,50.86966942,-126.1656284,Stream,900-642105-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,900-640400-00000-00000-0000-0000-000-000-000-000-000-000,SOUTHERN MAINLAND-SOUTHERN FJORDS_FA_0.x,CK-28,CK,Current,50988,SC,SFj,SC+SFj
210,APPLE RIVER,APPLE RIVER,828,50.71691485,-125.4155756,Stream,900-473087-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,900-469600-00000-00000-0000-0000-000-000-000-000-000-000,SOUTHERN MAINLAND-SOUTHERN FJORDS_FA_0.x,CK-28,CK,Current,50658,SC,SFj,SC+SFj
211,FANNY BAY CREEK,,825,50.53092131,-125.4022613,Stream,900-452137-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,,SOUTHERN MAINLAND-SOUTHERN FJORDS_FA_0.x,CK-28,CK,Current,50628,SC,SFj,SC+SFj
212,FRANKLIN RIVER,FRANKLIN RIVER,849,51.07849737,-125.5670589,Stream,900-592523-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,900-589500-00000-00000-0000-0000-000-000-000-000-000-000,SOUTHERN MAINLAND-SOUTHERN FJORDS_FA_0.x,CK-28,CK,Current,50868,SC,SFj,SC+SFj
213,FRAZER CREEK,FRAZER CREEK,830,50.71999364,-125.4784709,Stream,900-474796-003023-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,900-471200-00800-00000-0000-0000-000-000-000-000-000-000,SOUTHERN MAINLAND-SOUTHERN FJORDS_FA_0.x,CK-28,CK,Current,50678,SC,SFj,SC+SFj
214,FULMORE RIVER,FULMORE RIVER,836,50.56122211,-125.9381469,Stream,900-523991-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,900-521100-00000-00000-0000-0000-000-000-000-000-000-000,SOUTHERN MAINLAND-SOUTHERN FJORDS_FA_0.x,CK-28,CK,Current,50738,SC,SFj,SC+SFj
215,GLENDALE CREEK,GLENDALE CREEK,847,50.65126838,-125.7247365,Stream,900-572535-088296-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,900-569800-08600-00000-0000-0000-000-000-000-000-000-000,SOUTHERN MAINLAND-SOUTHERN FJORDS_FA_0.x,CK-28,CK,Current,50848,SC,SFj,SC+SFj
216,HEYDON CREEK,HEYDON CREEK,831,50.57709558,-125.5753906,Stream,900-481198-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,900-477600-00000-00000-0000-0000-000-000-000-000-000-000,SOUTHERN MAINLAND-SOUTHERN FJORDS_FA_0.x,CK-28,CK,Current,50688,SC,SFj,SC+SFj
217,KAKWEIKEN RIVER,KAKWEIKEN RIVER,860,50.80668948,-126.024264,Stream,900-634559-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,900-632100-00000-00000-0000-0000-000-000-000-000-000-000,SOUTHERN MAINLAND-SOUTHERN FJORDS_FA_0.x,CK-28,CK,Current,50978,SC,SFj,SC+SFj
218,KINGCOME RIVER,KINGCOME RIVER,872,50.9273143,-126.1874299,Stream,900-680928-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,900-681600-00000-00000-0000-0000-000-000-000-000-000-000,SOUTHERN MAINLAND-SOUTHERN FJORDS_FA_0.x,CK-28,CK,Current,51098,SC,SFj,SC+SFj
219,KWALATE CREEK,KWALATE CREEK,853,50.78124353,-125.6863106,Stream,900-611863-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,900-608900-00000-00000-0000-0000-000-000-000-000-000-000,SOUTHERN MAINLAND-SOUTHERN FJORDS_FA_0.x,CK-28,CK,Current,50908,SC,SFj,SC+SFj
220,ORFORD RIVER,ORFORD RIVER,816,50.59779947,-124.8574532,Stream,900-391855-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,900-391500-00000-00000-0000-0000-000-000-000-000-000-000,SOUTHERN MAINLAND-SOUTHERN FJORDS_FA_0.x,CK-28,CK,Current,50538,SC,SFj,SC+SFj
221,PHILLIPS RIVER,PHILLIPS RIVER,824,50.5684244,-125.365434,Stream,900-449592-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,900-447800-00000-00000-0000-0000-000-000-000-000-000-000,SOUTHERN MAINLAND-SOUTHERN FJORDS_FA_0.x,CK-28,CK,Current,50619,SC,SFj,SC+SFj
222,PHILLIPS RIVER,PHILLIPS RIVER,824,50.5684244,-125.365434,Stream,900-449592-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,900-447800-00000-00000-0000-0000-000-000-000-000-000-000,SOUTHERN MAINLAND-SOUTHERN FJORDS_FA_0.x,CK-28,CK,Current,50618,SC,SFj,SC+SFj
223,READ CREEK,READ CREEK,833,50.5363945,-125.7790529,Stream,900-504444-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,900-501200-00000-00000-0000-0000-000-000-000-000-000-000,SOUTHERN MAINLAND-SOUTHERN FJORDS_FA_0.x,CK-28,CK,Current,50708,SC,SFj,SC+SFj
224,ROBBERS KNOB CREEK,,837,50.52093894,-126.0552791,Stream,900-527134-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,900-524300-00000-00000-0000-0000-000-000-000-000-000-000,SOUTHERN MAINLAND-SOUTHERN FJORDS_FA_0.x,CK-28,CK,Current,50748,SC,SFj,SC+SFj
225,SEYMOUR RIVER,SEYMOUR RIVER,897,51.19330668,-126.6725475,Stream,900-874507-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,900-875400-00000-00000-0000-0000-000-000-000-000-000-000,SOUTHERN MAINLAND-SOUTHERN FJORDS_FA_0.x,CK-28,CK,Current,49532,SC,SFj,SC+SFj
226,SHOAL CREEK,SHOAL CREEK,835,50.5483265,-125.9052208,Stream,900-522310-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,900-519300-00000-00000-0000-0000-000-000-000-000-000-000,SOUTHERN MAINLAND-SOUTHERN FJORDS_FA_0.x,CK-28,CK,Current,50728,SC,SFj,SC+SFj
227,SIM RIVER,SIM RIVER,851,51.02252561,-125.6123586,Stream,900-598651-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,900-596000-00000-00000-0000-0000-000-000-000-000-000-000,SOUTHERN MAINLAND-SOUTHERN FJORDS_FA_0.x,CK-28,CK,Current,50888,SC,SFj,SC+SFj
228,SOUTHGATE RIVER,SOUTHGATE RIVER,817,50.88612491,-124.7874905,Stream,900-405080-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,900-404100-00000-00000-0000-0000-000-000-000-000-000-000,SOUTHERN MAINLAND-SOUTHERN FJORDS_FA_0.x,CK-28,CK,Current,50548,SC,SFj,SC+SFj
229,STAFFORD RIVER,STAFFORD RIVER,829,50.7201945,-125.476337,Stream,900-474796-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,900-471200-00000-00000-0000-0000-000-000-000-000-000-000,SOUTHERN MAINLAND-SOUTHERN FJORDS_FA_0.x,CK-28,CK,Current,50668,SC,SFj,SC+SFj
230,TEAQUAHAN RIVER,TEAQUAHAN RIVER,818,50.93128231,-124.830976,Stream,900-407171-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,900-406500-00000-00000-0000-0000-000-000-000-000-000-000,SOUTHERN MAINLAND-SOUTHERN FJORDS_FA_0.x,CK-28,CK,Current,50558,SC,SFj,SC+SFj
231,TUNA RIVER,TUNA RIVER,834,50.49270543,-125.9767987,Stream,900-513545-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,900-510300-00000-00000-0000-0000-000-000-000-000-000-000,SOUTHERN MAINLAND-SOUTHERN FJORDS_FA_0.x,CK-28,CK,Current,50718,SC,SFj,SC+SFj
232,WAKEMAN RIVER,WAKEMAN RIVER,874,51.03800007,-126.5181888,Stream,900-690764-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,900-692800-00000-00000-0000-0000-000-000-000-000-000-000,SOUTHERN MAINLAND-SOUTHERN FJORDS_FA_0.x,CK-28,CK,Current,51118,SC,SFj,SC+SFj
233,WARNER BAY CREEK,,895,51.02964078,-127.0924318,Stream,900-848644-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,900-849500-00000-00000-0000-0000-000-000-000-000-000-000,SOUTHERN MAINLAND-SOUTHERN FJORDS_FA_0.x,CK-28,CK,Current,49512,SC,SFj,SC+SFj
234,WAUMP CREEK,WAUMP CREEK,905,51.19005388,-126.9226153,Stream,900-947915-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,900-948000-00000-00000-0000-0000-000-000-000-000-000-000,SOUTHERN MAINLAND-SOUTHERN FJORDS_FA_0.x,CK-28,CK,Current,49612,SC,SFj,SC+SFj
235,ADAM RIVER,ADAM RIVER,1119,50.4658761,-126.277488,Stream,920-757566-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND-NORTH_FA_0.x,CK-29,CK,Current,52698,EVI,SFj,EVI+SFj
236,AMOR DE COSMOS CREEK,AMOR DE COSMOS CREEK,1123,50.35706233,-125.6853363,Stream,920-698537-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,920-700700-00000-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND-NORTH_FA_0.x,CK-29,CK,Current,52738,EVI,SFj,EVI+SFj
237,CAMPBELL RIVER,CAMPBELL RIVER,1141,50.04871847,-125.2584714,Stream,920-627155-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,920-627900-00000-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND-NORTH_FA_0.x,CK-29,CK,Current,52918,EVI,GStr,EVI+GStr
238,CLUXEWE RIVER,CLUXEWE RIVER,1109,50.61172181,-127.1775195,Stream,920-850204-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,920-851500-00000-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND-NORTH_FA_0.x,CK-29,CK,Current,52603,EVI,SFj,EVI+SFj
239,DREW CREEK,DREW CREEK,1135,50.08877979,-125.1923656,Stream,905-405793-902265-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,905-291000-89600-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND-NORTH_FA_0.x,CK-29,CK,Current,52858,SC,GStr,SC+GStr
240,EVE RIVER,EVE RIVER,1120,50.4378363,-126.2467076,Stream,920-757566-086842-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,920-758000-11400-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND-NORTH_FA_0.x,CK-29,CK,Current,52708,EVI,SFj,EVI+SFj
241,GRANITE BAY CREEK,,1136,50.23696592,-125.3037936,Stream,905-405793-365383-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,905-291000-35900-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND-NORTH_FA_0.x,CK-29,CK,Current,52868,SC,SFj,SC+SFj
242,KEOGH RIVER,KEOGH RIVER,1108,50.67776703,-127.3484281,Stream,920-866395-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,920-866900-00000-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND-NORTH_FA_0.x,CK-29,CK,Current,52593,EVI,SFj,EVI+SFj
243,KOKISH RIVER,KOKISH RIVER,1115,50.53153385,-126.8716271,Stream,920-810549-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,920-810900-00000-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND-NORTH_FA_0.x,CK-29,CK,Current,52663,EVI,SFj,EVI+SFj
244,MCKERCHER CREEK,MCKERCHER CREEK,1134,50.12972011,-125.2392642,Stream,905-405793-854178-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,905-291000-84800-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND-NORTH_FA_0.x,CK-29,CK,Current,52848,SC,GStr,SC+GStr
245,MENZIES CREEK,MENZIES CREEK,1139,50.13731398,-125.3911746,Stream,920-644562-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,920-646600-00000-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND-NORTH_FA_0.x,CK-29,CK,Current,52898,EVI,GStr,EVI+GStr
246,MOHUN CREEK,MOHUN CREEK,1140,50.11208411,-125.3739984,Stream,920-641351-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,920-643100-00000-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND-NORTH_FA_0.x,CK-29,CK,Current,52908,EVI,GStr,EVI+GStr
247,NAHWITTI RIVER,NAHWITTI RIVER,1101,50.85870705,-128.008083,Stream,920-954598-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,920-953700-00000-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND-NORTH_FA_0.x,CK-29,CK,Current,52528,EVI,SFj,EVI+SFj
248,NIMPKISH RIVER,NIMPKISH RIVER,1112,50.56666735,-126.9820221,Stream,920-824808-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,920-825900-00000-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND-NORTH_FA_0.x,CK-29,CK,Current,52633,EVI,SFj,EVI+SFj
249,QUATSE RIVER,QUATSE RIVER,1106,50.6999019,-127.4801357,Stream,920-895713-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,920-896200-00000-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND-NORTH_FA_0.x,CK-29,CK,Current,52573,EVI,SFj,EVI+SFj
250,QUINSAM RIVER,QUINSAM RIVER,1144,50.03756379,-125.2941625,Stream,920-627155-045026-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,920-627900-03600-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND-NORTH_FA_0.x,CK-29,CK,Current,52948,EVI,GStr,EVI+GStr
251,SALMON RIVER,SALMON RIVER,1121,50.37311148,-125.9299309,Stream,920-722273-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,920-725300-00000-00000-0000-0000-000-000-000-000-000-000,EAST VANCOUVER ISLAND-NORTH_FA_0.x,CK-29,CK,Current,52718,EVI,SFj,EVI+SFj
